Date,Symbol,Open,High,Low,Close,Volume From,Volume To,Volume
15-10-17,LTCUSD,63.94,69.59,62.06,65.51,754176.97,49373563.72,48619386.75
16-10-17,LTCUSD,65.51,66.4,62.33,64.72,348950.5,22505055.61,22156105.11
17-10-17,LTCUSD,64.72,64.99,58.51,59.19,402663.6,24632632.5,24229968.9
18-10-17,LTCUSD,59.19,61.85,52.9,60.67,807129.12,46384019.7,45576890.58
19-10-17,LTCUSD,60.67,61.42,58.34,59.84,368588.99,22114796.92,21746207.93
20-10-17,LTCUSD,59.84,62.2,58.52,60.12,334669.52,20260951.38,19926281.86
21-10-17,LTCUSD,60.12,60.38,56.2,58.14,295361.54,17228531.36,16933169.82
22-10-17,LTCUSD,58.14,58.89,56.12,56.75,190552.52,10883490.88,10692938.36
23-10-17,LTCUSD,56.75,56.75,52.45,54.76,430417.98,23435394.33,23004976.35
24-10-17,LTCUSD,54.76,59.19,52.5,55.61,495668.73,28222463.83,27726795.1
25-10-17,LTCUSD,55.61,56.92,53.55,56.36,257212.47,14149049.75,13891837.28
26-10-17,LTCUSD,56.36,57.16,54.89,55.56,150371.27,8414056.57,8263685.3
27-10-17,LTCUSD,55.56,56.15,54.75,55.24,125596.65,6950292,6824695.35
28-10-17,LTCUSD,55.24,55.88,54.01,54.52,90591.89,4969553.65,4878961.76
29-10-17,LTCUSD,54.52,58,54.26,56.59,189860.48,10706447.15,10516586.67
30-10-17,LTCUSD,56.59,58.39,55.85,56.4,186735.09,10618196.55,10431461.46
31-10-17,LTCUSD,56.4,56.81,55.4,55.41,169187.47,9499819.02,9330631.55
01-11-17,LTCUSD,55.41,55.6,52.82,53,235905.19,12866276.01,12630370.82
02-11-17,LTCUSD,53,54.85,50.25,54.35,558252.89,29431467.47,28873214.58
03-11-17,LTCUSD,54.35,56.35,53.96,56.19,316100.2,17421121.34,17105021.14
04-11-17,LTCUSD,56.19,56.3,54.65,55.09,159543.16,8846521.28,8686978.12
05-11-17,LTCUSD,55.09,55.53,54.38,54.67,151828.91,8334673.09,8182844.18
06-11-17,LTCUSD,54.67,55.85,53.37,54.6,221445.68,12141984.55,11920538.87
07-11-17,LTCUSD,54.6,63.71,54.6,60.61,734430.83,43989718.75,43255287.92
08-11-17,LTCUSD,60.61,64.3,59.6,62.46,788530.39,48839553.65,48051023.26
09-11-17,LTCUSD,62.46,67.24,61.89,64.4,612290.73,39474791.27,38862500.54
10-11-17,LTCUSD,64.4,65.94,56.13,59.32,809038.98,49164293.6,48355254.62
11-11-17,LTCUSD,59.32,63.99,59.02,62.49,455022.37,28088680.42,27633658.05
12-11-17,LTCUSD,62.49,62.6,57.08,58.81,569163.54,33880961.89,33311798.35
13-11-17,LTCUSD,58.81,62.42,58.23,61.24,358103.57,21650007.76,21291904.19
14-11-17,LTCUSD,61.24,63.57,60.56,62.33,336629.84,20852252.27,20515622.43
15-11-17,LTCUSD,62.33,65.43,62.2,63.3,375892.38,23887754.59,23511862.21
16-11-17,LTCUSD,63.3,72.5,62.52,70.56,845406.44,56599695.12,55754288.68
17-11-17,LTCUSD,70.56,71.46,65.52,67.5,770626.76,52712326.68,51941699.92
18-11-17,LTCUSD,67.5,69.95,65.62,69.35,338051.28,22860729.46,22522678.18
19-11-17,LTCUSD,69.35,73.4,68.55,71.7,519944.75,36792560.95,36272616.2
20-11-17,LTCUSD,71.7,73.25,71.13,72.62,403141.53,29122072.5,28718930.97
21-11-17,LTCUSD,72.62,73,68,70,663599.06,46748553.38,46084954.32
22-11-17,LTCUSD,70,72.32,70,72.31,319998.06,22769864.1,22449866.04
23-11-17,LTCUSD,72.31,77.96,71.07,73.3,696781.45,51990244.78,51293463.33
24-11-17,LTCUSD,73.3,77.7,72.51,77.54,521987.53,39127528.2,38605540.67
25-11-17,LTCUSD,77.54,89.88,77.24,89.13,1008440.73,84212351.95,83203911.22
26-11-17,LTCUSD,89.13,89.21,84.18,86.62,668214.39,57939735.51,57271521.12
27-11-17,LTCUSD,86.62,93.89,86.4,91.38,842786.11,76244993.15,75402207.04
28-11-17,LTCUSD,91.38,94.88,89.96,94.49,559324.32,51865650.93,51306326.61
29-11-17,LTCUSD,94.49,103.54,76.01,86.7,1557022.5,148809089.4,147252066.9
30-11-17,LTCUSD,86.7,93.5,78,85.82,1011501.33,86421708.95,85410207.62
01-12-17,LTCUSD,85.82,100.77,82,100.16,1324003.28,123587404.8,122263401.5
02-12-17,LTCUSD,100.16,104.75,98.1,99.65,793874.96,80315925.74,79522050.78
03-12-17,LTCUSD,99.65,107.49,97,101.2,759748.83,77645326.96,76885578.13
04-12-17,LTCUSD,101.2,104.5,95.47,104.28,580546.21,58651641.82,58071095.61
05-12-17,LTCUSD,104.28,104.29,101.01,101.01,466662.32,47769478.07,47302815.75
06-12-17,LTCUSD,101.01,103.9,97.75,100.01,754511.19,76359902.33,75605391.14
